# Secciones según ArcelorMittal
# -----------------------------
#
# 2016-02-01 Pedro Biel
#
# http://sections.arcelormittal.com/products-services/products-ranges.html
#
# 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#
# Perfil,nominal,g,h,b,tw,tf,r,A,hi,d,O,pmin,pmax,AL,AG,Iy,Wely,Wply,iy,Avz,Iz,Welz,Wplz,iz,ss,It,Iw
# --,--,kN/m,mm,mm,mm,mm,mm,cm²,mm,mm,--,mm,mm,m²/m,m²/t,cm4,cm³,cm³,cm,cm²,cm4,cm³,cm³,cm,mm,cm6,cm6
#
IPEAA,80,0.049,78,46,3.2,4.2,5,6.31,69.6,59.6,0,0,0,0.325,65.62,64.1,16.4,18.9,3.19,3,6.85,2.98,4.7,1.04,17.5,0.4,90
IPEA,80,0.05,78,46,3.3,4.2,5,6.38,69.6,59.6,0,0,0,0.325,64.9,64.4,16.5,19,3.18,3.07,6.85,2.98,4.7,1.04,17.6,0.42,90
IPE,80,0.06,80,46,3.8,5.2,5,7.64,69.6,59.6,0,0,0,0.328,54.64,80.1,20,23.2,3.24,3.58,8.49,3.69,5.8,1.05,20.1,0.7,120
IPEAA,100,0.067,97.6,55,3.6,4.5,7,8.56,88.6,74.6,0,0,0,0.396,58.93,136,27.9,31.9,3.98,4.4,12.6,4.57,7.2,1.21,20.8,0.73,270
IPEA,100,0.069,98,55,3.6,4.7,7,8.78,88.6,74.6,0,0,0,0.397,57.57,141,28.8,33,4.01,4.44,13.1,4.77,7.5,1.22,21.2,0.77,280
IPE,100,0.081,100,55,4.1,5.7,7,10.3,88.6,74.6,0,0,0,0.4,49.33,171,34.2,39.4,4.07,5.08,15.9,5.79,9.2,1.24,23.7,1.2,350
IPEAA,120,0.084,117,64,3.8,4.8,7,10.7,107.4,93.4,0,0,0,0.47,56.26,244,41.7,47.6,4.79,5.36,21.1,6.59,10.4,1.41,21.6,0.95,660
IPEA,120,0.087,117.6,64,3.8,5.1,7,11,107.4,93.4,0,0,0,0.472,54.47,257,43.8,49.9,4.83,5.41,22.4,7,11,1.42,22.2,1.04,710
IPE,120,0.104,120,64,4.4,6.3,7,13.2,107.4,93.4,0,0,0,0.475,45.82,318,53,60.7,4.9,6.31,27.7,8.65,13.6,1.45,25.2,1.74,890
IPEAA,140,0.101,136.6,73,3.8,5.2,7,12.8,126.2,112.2,0,0,0,0.546,54.26,407,59.7,67.6,5.64,6.14,33.8,9.27,14.5,1.63,22.4,1.19,1460
IPEA,140,0.105,137.4,73,3.8,5.6,7,13.4,126.2,112.2,0,0,0,0.547,52.05,435,63.3,71.6,5.7,6.21,36.4,10,15.5,1.65,23.2,1.36,1580
IPE,140,0.129,140,73,4.7,6.9,7,16.4,126.2,112.2,0,0,0,0.551,42.7,541,77.3,88.3,5.74,7.64,44.9,12.3,19.3,1.65,26.7,2.45,1980
IPEAA,160,0.123,156.4,82,4,5.6,9,15.69,145.2,131.2,0,0,0,0.617,50.13,659,84.3,95.2,6.48,7.74,51.7,12.6,19.7,1.81,25.7,1.81,2930
